"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","high school","standard","none","69","81","74"
"female","group D","bachelor's degree","free/reduced","none","53","69","71"
"female","group D","some college","standard","completed","62","72","82"
"male","group D","high school","standard","none","66","71","70"
"female","group D","associate's degree","standard","none","83","95","96"
"male","group C","high school","free/reduced","completed","82","74","75"
"male","group C","high school","free/reduced","none","57","58","51"
"male","group D","high school","standard","completed","78","82","74"
"female","group E","high school","standard","completed","99","97","100"
"male","group A","high school","standard","none","93","79","68"
"male","group A","some college","free/reduced","none","53","62","58"
"male","group B","high school","standard","none","44","48","49"
"male","group C","associate's degree","standard","none","62","59","58"
"male","group E","associate's degree","free/reduced","none","52","50","47"
"male","group C","associate's degree","free/reduced","completed","56","54","59"
"female","group C","some college","standard","completed","79","82","85"
"female","group B","bachelor's degree","standard","completed","56","57","64"
"male","group D","high school","standard","none","42","40","35"
"male","group C","high school","standard","none","63","59","51"
"female","group D","associate's degree","standard","completed","82","87","96"
"female","group D","some high school","free/reduced","none","55","64","61"
"male","group B","some high school","free/reduced","none","42","50","33"
"male","group B","associate's degree","standard","none","85","84","76"
"male","group D","some high school","standard","none","91","83","80"
"male","group C","some college","free/reduced","completed","59","50","53"
"female","group A","some college","standard","none","77","91","95"
"female","group C","some college","standard","none","62","71","66"
"female","group C","associate's degree","standard","none","81","93","88"
"male","group D","high school","standard","none","77","80","71"
"female","group B","associate's degree","free/reduced","completed","76","77","85"
"male","group D","some college","standard","none","74","66","67"
"male","group B","bachelor's degree","standard","none","63","53","53"
"female","group E","associate's degree","free/reduced","completed","84","86","95"
"male","group C","some college","free/reduced","completed","57","63","58"
"female","group E","some high school","standard","none","56","73","71"
"male","group C","some high school","standard","completed","77","73","78"
"female","group D","some college","free/reduced","completed","71","89","91"
"male","group D","high school","standard","none","80","82","80"
"female","group C","associate's degree","standard","none","64","71","70"
"male","group D","high school","free/reduced","completed","83","81","82"
"male","group C","bachelor's degree","free/reduced","none","79","75","70"
"female","group C","some college","standard","none","71","78","75"
"male","group B","master's degree","standard","completed","60","58","56"
"male","group E","some high school","free/reduced","none","58","44","42"
"male","group D","bachelor's degree","standard","none","76","64","71"
"male","group D","some college","standard","completed","78","81","77"
"male","group B","associate's degree","standard","none","72","71","68"
"male","group E","associate's degree","standard","none","97","89","86"
"female","group C","high school","standard","completed","83","100","99"
"female","group D","high school","free/reduced","completed","83","88","94"
"female","group B","some college","standard","none","57","73","72"
"male","group C","some high school","standard","none","90","75","74"
"female","group C","some high school","free/reduced","none","37","42","36"
"female","group B","associate's degree","standard","completed","85","87","92"
"male","group D","some college","free/reduced","none","61","50","56"
"female","group A","some college","standard","none","67","71","68"
"female","group C","some high school","free/reduced","none","47","58","52"
"male","group D","some college","standard","completed","56","58","60"
"female","group C","some college","free/reduced","completed","54","70","65"
"male","group C","some college","standard","none","80","85","78"
"male","group B","high school","standard","none","92","84","83"
"female","group B","bachelor's degree","standard","completed","53","62","66"
"male","group E","some college","standard","completed","76","70","74"
"female","group C","some college","standard","none","56","65","69"
"female","group E","associate's degree","standard","none","74","75","78"
"female","group B","associate's degree","standard","none","42","45","45"
"male","group D","bachelor's degree","free/reduced","none","59","66","68"
"female","group E","some high school","standard","none","48","49","47"
"female","group B","associate's degree","standard","none","78","77","82"
"female","group C","bachelor's degree","standard","none","83","94","91"
"female","group B","some college","standard","none","66","69","65"
"male","group A","high school","free/reduced","none","78","75","66"
"female","group D","master's degree","free/reduced","none","53","70","68"
"female","group E","associate's degree","free/reduced","none","72","74","74"
"male","group E","some college","free/reduced","none","63","59","51"
"female","group D","some college","standard","completed","71","78","80"
"male","group D","master's degree","free/reduced","completed","51","57","60"
"male","group D","some college","standard","completed","66","61","68"
"female","group C","high school","standard","none","89","93","92"
"male","group C","some college","standard","completed","78","72","79"
"male","group D","bachelor's degree","standard","none","84","80","79"
"female","group C","associate's degree","free/reduced","none","76","88","85"
"male","group E","some college","standard","none","98","92","89"
"female","group C","some high school","standard","completed","77","80","79"
"male","group B","high school","standard","none","60","61","56"
"male","group E","master's degree","standard","none","86","83","78"
"female","group C","some high school","standard","none","55","69","74"
"female","group D","high school","free/reduced","none","76","85","85"
"female","group C","associate's degree","standard","none","72","78","83"
"female","group D","associate's degree","free/reduced","completed","62","72","79"
"female","group D","some high school","standard","none","65","71","68"
"male","group E","bachelor's degree","standard","none","65","51","49"
"female","group C","high school","standard","none","84","91","87"
"female","group C","associate's degree","standard","completed","56","70","71"
"female","group B","some college","standard","completed","80","88","84"
"male","group C","high school","standard","none","72","69","61"
"male","group D","high school","free/reduced","completed","67","61","62"
"female","group B","master's degree","standard","none","79","85","79"
"male","group C","associate's degree","standard","none","73","68","59"
"female","group C","high school","standard","none","67","71","70"
"male","group C","bachelor's degree","standard","none","86","75","71"
"female","group E","high school","free/reduced","none","60","62","61"
"male","group C","high school","free/reduced","completed","37","30","26"
"male","group C","some high school","standard","none","55","49","45"
"male","group D","master's degree","standard","none","85","78","74"
"female","group A","some college","standard","completed","61","79","76"
"female","group D","associate's degree","standard","completed","72","69","77"
"female","group A","some college","free/reduced","none","75","78","84"
"male","group A","some high school","standard","completed","94","90","89"
"female","group D","some college","standard","none","92","97","97"
"female","group A","some high school","standard","none","80","85","88"
"female","group B","bachelor's degree","standard","none","63","73","72"
"male","group A","some high school","standard","completed","63","64","57"
"male","group C","high school","free/reduced","completed","76","76","76"
"female","group C","some college","free/reduced","none","52","59","65"
"female","group B","bachelor's degree","standard","none","57","71","67"
"male","group C","some college","standard","none","65","57","56"
"female","group C","some high school","free/reduced","none","43","51","46"
"female","group B","master's degree","standard","completed","61","71","77"
"female","group A","some high school","free/reduced","completed","55","67","64"
"female","group C","master's degree","standard","completed","66","85","88"
"male","group D","master's degree","standard","completed","69","70","76"
"female","group C","high school","standard","none","58","63","64"
"male","group D","associate's degree","free/reduced","completed","85","87","86"
"male","group C","high school","standard","none","57","51","50"
"male","group B","some high school","standard","none","77","77","78"
"female","group D","some college","standard","none","50","76","68"
"male","group C","high school","standard","none","66","57","56"
"male","group C","associate's degree","standard","none","93","86","78"
"male","group A","high school","standard","none","47","50","45"
"female","group D","some college","standard","none","57","60","61"
"female","group B","some college","standard","none","47","66","64"
"male","group D","some college","standard","none","89","85","82"
"female","group D","some college","standard","none","65","61","72"
"female","group B","master's degree","free/reduced","none","67","84","86"
"male","group B","bachelor's degree","free/reduced","completed","60","56","51"
"male","group E","some college","standard","completed","73","72","71"
"male","group C","some high school","free/reduced","completed","46","59","48"
"female","group D","some college","standard","none","59","64","62"
"female","group C","some college","standard","none","69","71","72"
"female","group C","some college","standard","none","68","68","75"
"female","group C","some college","standard","completed","69","73","75"
"female","group A","some high school","standard","none","51","65","61"
"male","group A","some high school","free/reduced","completed","57","48","56"
"female","group C","high school","standard","none","60","64","64"
"female","group E","associate's degree","free/reduced","none","70","75","72"
"male","group D","some college","free/reduced","none","30","45","38"
"male","group D","associate's degree","standard","none","59","64","56"
"female","group E","master's degree","free/reduced","completed","75","86","93"
"female","group B","associate's degree","standard","completed","79","73","79"
"male","group C","some college","standard","completed","96","92","94"
"male","group D","associate's degree","standard","none","85","70","77"
"female","group C","some college","free/reduced","completed","55","65","67"
"female","group D","associate's degree","standard","none","78","85","82"
"female","group C","associate's degree","free/reduced","none","46","54","55"
"male","group E","bachelor's degree","standard","completed","93","81","84"
"male","group C","some college","standard","none","89","88","88"
"female","group C","some high school","standard","none","66","83","72"
"female","group C","some high school","standard","completed","71","76","81"
"male","group B","some college","standard","none","77","74","70"
"male","group C","some high school","free/reduced","completed","61","61","63"
"female","group E","master's degree","standard","none","84","84","81"
"female","group E","master's degree","free/reduced","completed","86","90","91"
"male","group E","high school","standard","completed","100","100","97"
"male","group C","some high school","standard","none","52","39","41"
"female","group C","high school","free/reduced","completed","37","49","47"
"female","group C","some high school","standard","none","79","89","87"
"male","group D","bachelor's degree","standard","none","89","70","69"
"male","group C","associate's degree","free/reduced","none","80","72","71"
"male","group C","some college","standard","none","63","66","65"
"female","group C","high school","free/reduced","none","30","45","44"
"male","group C","some high school","standard","none","69","68","60"
"male","group C","some high school","free/reduced","none","31","26","24"
"male","group E","some college","free/reduced","completed","65","66","65"
"female","group B","some college","standard","none","63","74","69"
"female","group E","some high school","standard","none","64","76","66"
"female","group D","some college","standard","completed","81","89","95"
"male","group D","bachelor's degree","free/reduced","completed","76","74","78"
"female","group C","some college","standard","completed","80","81","88"
"male","group D","associate's degree","standard","none","67","66","57"
"female","group D","master's degree","standard","completed","58","65","68"
"female","group B","some college","standard","none","77","67","71"
"female","group C","some high school","free/reduced","completed","55","58","61"
"female","group B","some high school","free/reduced","completed","52","66","61"
"female","group B","high school","standard","completed","65","67","66"
"female","group A","high school","free/reduced","none","40","51","50"
"male","group A","high school","standard","none","54","44","36"
"female","group E","some high school","standard","none","87","90","86"
"male","group D","associate's degree","free/reduced","completed","79","83","80"
"male","group E","master's degree","standard","none","82","71","68"
"male","group C","associate's degree","standard","completed","73","74","72"
"female","group B","some college","free/reduced","none","41","61","56"
"male","group E","high school","free/reduced","none","75","74","67"
"male","group E","some college","free/reduced","none","69","66","60"
"male","group D","associate's degree","standard","none","73","67","64"
"male","group E","some high school","standard","completed","93","83","81"
"male","group D","high school","standard","none","79","78","78"
"female","group E","some college","standard","completed","76","88","83"
"male","group E","some high school","free/reduced","none","62","55","58"
"male","group B","high school","standard","completed","78","72","77"
"female","group E","some college","standard","completed","77","83","80"
"male","group C","some high school","standard","none","64","61","54"
"male","group C","associate's degree","free/reduced","none","53","57","52"
"male","group B","associate's degree","free/reduced","completed","68","67","65"
"female","group C","associate's degree","standard","none","69","78","73"
"male","group D","some high school","standard","none","62","59","49"
"female","group C","some high school","free/reduced","none","43","56","53"
"female","group C","high school","standard","none","62","70","68"
"female","group E","some college","free/reduced","none","63","77","73"
"female","group E","high school","free/reduced","none","44","46","48"
"female","group C","high school","free/reduced","completed","61","70","72"
"female","group B","some college","standard","none","83","85","88"
"female","group B","some college","standard","none","85","94","93"
"male","group E","high school","free/reduced","none","90","84","73"
"female","group C","associate's degree","standard","none","65","75","73"
"male","group C","master's degree","standard","none","59","65","59"
"female","group E","master's degree","standard","none","88","82","80"
"male","group B","master's degree","free/reduced","completed","85","79","82"
"male","group C","associate's degree","standard","completed","67","73","69"
"female","group A","high school","standard","none","70","83","77"
"male","group C","associate's degree","standard","completed","75","65","74"
"male","group B","bachelor's degree","standard","completed","83","73","72"
"male","group E","some college","standard","completed","97","95","90"
"female","group D","some high school","standard","completed","58","65","65"
"female","group D","some college","free/reduced","none","60","72","77"
"female","group C","associate's degree","free/reduced","none","57","68","67"
"female","group B","some high school","free/reduced","none","71","70","73"
"female","group C","some high school","standard","completed","74","82","85"
"female","group C","high school","free/reduced","none","62","84","79"
"female","group D","high school","free/reduced","none","66","78","76"
"female","group D","some college","free/reduced","none","66","88","79"
"female","group D","some high school","free/reduced","none","40","46","43"
"female","group C","bachelor's degree","free/reduced","completed","57","69","75"
"female","group B","high school","standard","none","69","69","69"
"female","group D","associate's degree","free/reduced","none","64","78","70"
"male","group C","high school","standard","none","66","54","47"
"female","group A","some college","free/reduced","none","49","63","62"
"male","group C","associate's degree","free/reduced","none","82","72","70"
"male","group C","some college","standard","none","46","41","37"
"male","group D","associate's degree","standard","completed","69","66","69"
"female","group C","high school","free/reduced","completed","52","56","58"
"male","group B","associate's degree","standard","completed","98","98","92"
"female","group D","master's degree","standard","none","70","72","79"
"female","group E","high school","standard","none","77","81","81"
"male","group E","some college","standard","none","89","75","73"
"female","group E","bachelor's degree","standard","completed","72","75","74"
"male","group D","master's degree","standard","none","72","64","60"
"female","group C","some college","free/reduced","none","31","36","39"
"female","group D","high school","free/reduced","none","50","64","68"
"male","group A","some high school","free/reduced","none","42","49","41"
"female","group E","high school","standard","completed","77","79","84"
"female","group E","some high school","free/reduced","none","61","65","60"
"female","group B","some college","standard","completed","70","67","72"
"male","group D","some college","standard","none","69","67","59"
"female","group E","some college","free/reduced","completed","70","83","85"
"male","group D","some college","standard","none","56","51","49"
"male","group D","some college","standard","none","71","66","62"
"female","group C","high school","standard","none","55","56","57"
"male","group E","some college","standard","none","74","75","70"
"male","group C","high school","standard","completed","81","80","74"
"male","group A","some high school","standard","none","73","65","63"
"male","group C","some college","standard","completed","65","68","64"
"male","group D","associate's degree","standard","none","90","79","78"
"male","group B","some college","free/reduced","none","50","56","56"
"male","group C","some high school","free/reduced","none","40","46","42"
"male","group B","high school","free/reduced","completed","62","63","68"
"female","group B","some high school","standard","none","75","91","82"
"male","group D","some college","standard","none","74","71","75"
"female","group E","high school","standard","completed","100","96","100"
"female","group C","high school","free/reduced","none","61","65","71"
"female","group E","high school","standard","none","66","80","69"
"male","group B","high school","standard","completed","64","62","58"
"female","group C","some high school","standard","completed","85","96","100"
"male","group E","some college","standard","none","63","52","56"
"male","group D","some college","standard","none","65","63","64"
"female","group E","some college","standard","none","66","72","74"
"female","group C","some high school","standard","completed","67","78","81"
"female","group E","some college","standard","completed","76","90","86"
"female","group D","high school","standard","completed","61","64","69"
"male","group D","some high school","free/reduced","none","50","45","46"
"female","group A","master's degree","standard","none","63","75","76"
"male","group B","associate's degree","free/reduced","none","50","57","43"
"female","group B","high school","free/reduced","none","55","66","58"
"female","group C","some college","standard","none","54","75","78"
"male","group E","bachelor's degree","free/reduced","completed","76","70","66"
"female","group D","some college","free/reduced","none","35","55","55"
"female","group A","master's degree","free/reduced","none","64","82","73"
"female","group B","some high school","standard","none","58","60","63"
"female","group C","some high school","standard","none","34","55","49"
"female","group E","some college","free/reduced","none","73","81","75"
"male","group B","high school","standard","none","80","64","57"
"female","group C","some high school","standard","completed","74","69","69"
"female","group E","some college","standard","none","78","77","82"
"male","group C","master's degree","standard","completed","65","59","63"
"male","group A","bachelor's degree","standard","none","75","79","78"
"male","group C","some high school","standard","completed","81","74","73"
"male","group B","some high school","free/reduced","completed","81","85","80"
"female","group D","bachelor's degree","free/reduced","completed","79","92","94"
"female","group A","some college","standard","completed","84","96","100"
"male","group E","high school","standard","none","71","59","55"
"male","group C","some college","standard","completed","55","55","47"
"female","group D","some college","standard","none","64","73","73"
"male","group E","associate's degree","standard","none","41","31","35"
"male","group B","bachelor's degree","standard","none","88","76","77"
"female","group D","bachelor's degree","free/reduced","completed","59","75","76"
"male","group B","associate's degree","standard","none","65","65","55"
"female","group D","high school","free/reduced","completed","85","100","100"
"male","group B","some high school","standard","none","47","41","44"
"female","group D","master's degree","free/reduced","none","61","72","69"
"male","group B","some high school","standard","none","56","52","50"
"female","group C","some college","standard","none","87","87","89"
"female","group D","master's degree","standard","none","58","79","79"
"female","group D","some college","standard","none","69","77","81"
"female","group C","some high school","standard","none","39","38","40"
"male","group A","some college","free/reduced","none","47","42","41"
"male","group C","some college","free/reduced","none","69","74","69"
"male","group B","high school","standard","completed","69","55","65"
"female","group C","associate's degree","standard","completed","74","84","82"
"male","group C","master's degree","free/reduced","none","82","76","74"
"female","group C","some high school","free/reduced","completed","50","66","64"
"male","group E","some high school","standard","none","85","79","71"
"male","group E","high school","free/reduced","none","62","68","56"
"female","group E","associate's degree","standard","none","80","78","76"
"male","group E","bachelor's degree","standard","completed","91","80","83"
"female","group D","associate's degree","free/reduced","none","66","74","70"
"female","group D","some high school","free/reduced","none","42","61","59"
"male","group C","high school","free/reduced","completed","61","65","54"
"male","group E","high school","standard","none","70","63","59"
"male","group D","associate's degree","standard","completed","79","70","74"
"female","group E","high school","standard","none","48","49","56"
"female","group E","associate's degree","free/reduced","none","65","55","61"
"male","group E","some college","free/reduced","completed","72","72","67"
"male","group B","high school","free/reduced","none","61","53","52"
"female","group B","associate's degree","free/reduced","none","26","51","43"
"male","group B","bachelor's degree","standard","none","90","80","80"
"male","group E","bachelor's degree","standard","completed","98","92","95"
"male","group E","some college","standard","none","95","77","73"
"male","group D","some high school","standard","completed","66","69","68"
"male","group B","high school","free/reduced","none","42","46","38"
"female","group B","some college","standard","completed","65","68","72"
"female","group A","some college","standard","none","75","74","75"
"male","group D","master's degree","standard","none","69","69","75"
"male","group D","master's degree","standard","none","77","63","69"
"male","group D","associate's degree","free/reduced","none","85","78","72"
"female","group E","some college","standard","completed","78","85","87"
"female","group D","associate's degree","standard","completed","67","75","78"
"female","group B","some high school","standard","completed","64","74","67"
"male","group E","associate's degree","free/reduced","none","87","76","68"
"female","group B","high school","free/reduced","completed","75","86","89"
"male","group B","some college","standard","none","90","81","84"
"female","group C","some college","free/reduced","none","61","81","78"
"female","group C","some college","free/reduced","none","55","68","60"
"female","group C","associate's degree","standard","completed","59","75","74"
"female","group C","some high school","standard","none","59","59","61"
"male","group D","some high school","free/reduced","none","70","68","64"
"female","group D","some high school","standard","none","82","81","87"
"male","group B","some high school","standard","completed","92","95","89"
"female","group D","some college","free/reduced","none","62","73","71"
"male","group E","high school","free/reduced","none","78","72","66"
"male","group C","bachelor's degree","standard","none","90","82","74"
"female","group C","master's degree","free/reduced","none","47","67","64"
"female","group B","some high school","standard","completed","80","89","89"
"female","group B","high school","free/reduced","completed","45","53","58"
"female","group E","associate's degree","standard","none","100","100","99"
"male","group E","associate's degree","free/reduced","none","84","70","67"
"male","group D","associate's degree","standard","none","79","76","67"
"male","group D","some high school","standard","none","49","33","35"
"male","group C","high school","standard","none","51","44","45"
"male","group B","some college","standard","completed","76","82","80"
"female","group B","some high school","standard","none","63","70","64"
"male","group E","some high school","standard","completed","58","50","44"
"male","group C","some college","standard","none","86","91","80"
"female","group B","some high school","standard","completed","69","76","74"
"female","group D","associate's degree","free/reduced","none","48","64","59"
"male","group B","some high school","free/reduced","completed","61","60","58"
"female","group C","bachelor's degree","standard","none","78","77","75"
"male","group D","some high school","standard","none","48","34","37"
"male","group E","associate's degree","standard","none","79","70","63"
"male","group D","some high school","standard","none","71","69","57"
"female","group E","some high school","standard","none","78","86","80"
"male","group C","bachelor's degree","standard","completed","80","78","83"
"female","group D","some high school","standard","completed","62","63","69"
"male","group A","high school","standard","none","38","27","25"
"female","group E","some high school","standard","none","78","77","79"
"male","group C","high school","free/reduced","none","53","50","50"
"male","group C","bachelor's degree","standard","completed","97","90","89"
"female","group A","some high school","standard","completed","68","81","81"
"female","group B","associate's degree","standard","none","43","52","55"
"female","group D","associate's degree","standard","completed","62","68","69"
"male","group D","associate's degree","free/reduced","none","50","52","53"
"female","group D","some college","standard","none","88","85","88"
"female","group C","associate's degree","standard","none","48","60","59"
"female","group C","some college","standard","none","56","66","62"
"female","group C","high school","standard","completed","70","78","79"
"female","group E","high school","standard","none","66","67","63"
"female","group E","some high school","standard","none","43","53","52"
"male","group C","some high school","standard","none","45","46","36"
"male","group D","high school","standard","none","79","76","71"
"female","group C","some college","free/reduced","none","45","52","54"
"female","group C","associate's degree","standard","none","66","74","68"
"male","group B","some college","free/reduced","completed","40","52","52"
"female","group A","some college","standard","none","49","61","62"
"male","group A","high school","free/reduced","none","62","60","52"
"male","group C","high school","standard","none","64","63","63"
"male","group C","some college","free/reduced","none","68","72","71"
"male","group C","high school","standard","completed","87","84","77"
"female","group B","some high school","free/reduced","none","58","55","61"
"male","group D","associate's degree","free/reduced","none","40","30","35"
"female","group D","some college","standard","completed","64","78","82"
"male","group A","some high school","standard","none","61","59","48"
"male","group C","associate's degree","standard","none","72","64","64"
"male","group E","associate's degree","standard","completed","78","70","74"
"male","group C","master's degree","standard","none","61","56","54"
"female","group A","master's degree","free/reduced","none","78","89","91"
"male","group E","some high school","standard","none","84","68","65"
"female","group E","master's degree","standard","none","82","85","85"
"male","group D","some college","free/reduced","none","54","52","52"
"female","group B","some college","standard","completed","59","71","71"
"male","group B","high school","standard","completed","49","57","52"
"male","group D","bachelor's degree","free/reduced","completed","81","80","82"
